species	RA	PRED	replicate	block	no_residents	no_dispersers	relevant_taxon	lab
pirata_latitans	low	no	spid_4	spid_B	6	0	arthropod	moulis_toulouse
pirata_latitans	standard	no	spid_4	spid_B	8	0	arthropod	moulis_toulouse
pirata_latitans	standard	yes	spid_4	spid_B	6	0	arthropod	moulis_toulouse
pirata_latitans	low	yes	spid_4	spid_B	5	1	arthropod	moulis_toulouse
pirata_latitans	standard	no	spid_5	spid_A	7	0	arthropod	moulis_toulouse
pirata_latitans	low	no	spid_5	spid_A	6	2	arthropod	moulis_toulouse
pirata_latitans	low	yes	spid_5	spid_A	6	0	arthropod	moulis_toulouse
pirata_latitans	standard	yes	spid_5	spid_A	6	0	arthropod	moulis_toulouse
pirata_latitans	low	yes	spid_6	spid_B	5	0	arthropod	moulis_toulouse
pirata_latitans	standard	yes	spid_6	spid_B	6	1	arthropod	moulis_toulouse
pirata_latitans	standard	no	spid_6	spid_B	8	0	arthropod	moulis_toulouse
pirata_latitans	low	no	spid_6	spid_B	5	1	arthropod	moulis_toulouse
platycnemis_pennipes	low	no	Dam_1	Dam_1	2	8	arthropod	moulis_toulouse
platycnemis_pennipes	low	yes	Dam_1	Dam_1	11	5	arthropod	moulis_toulouse
platycnemis_pennipes	standard	no	Dam_1	Dam_1	8	8	arthropod	moulis_toulouse
platycnemis_pennipes	standard	yes	Dam_1	Dam_1	6	6	arthropod	moulis_toulouse
platycnemis_pennipes	low	no	Dam_2	Dam_1	5	5	arthropod	moulis_toulouse
platycnemis_pennipes	low	yes	Dam_2	Dam_1	7	4	arthropod	moulis_toulouse
platycnemis_pennipes	standard	no	Dam_2	Dam_1	6	5	arthropod	moulis_toulouse
platycnemis_pennipes	standard	yes	Dam_2	Dam_1	3	5	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_1	cricket_28_sept	9	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_1	cricket_28_sept	6	2	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_1	cricket_28_sept	5	1	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_1	cricket_28_sept	7	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_2	cricket_29_sept	5	4	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_2	cricket_29_sept	7	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_2	cricket_29_sept	9	1	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_2	cricket_29_sept	5	5	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_3	cricket_05_oct	8	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_3	cricket_05_oct	8	1	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_3	cricket_05_oct	9	1	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_3	cricket_05_oct	10	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_4	cricket_06_oct	3	6	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_4	cricket_06_oct	10	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_4	cricket_06_oct	9	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_4	cricket_06_oct	4	2	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_5	cricket_13_oct	6	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_5	cricket_13_oct	7	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_5	cricket_13_oct	6	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_5	cricket_13_oct	7	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_6	cricket_13_oct	9	1	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_6	cricket_13_oct	6	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_6	cricket_13_oct	9	2	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_6	cricket_13_oct	5	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_7	cricket_22_oct	8	1	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_7	cricket_22_oct	8	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_7	cricket_22_oct	10	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_7	cricket_22_oct	10	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	yes	cricket_8	cricket_22_oct	9	0	arthropod	moulis_toulouse
pteronemobius_heydenii	low	yes	cricket_8	cricket_22_oct	8	2	arthropod	moulis_toulouse
pteronemobius_heydenii	low	no	cricket_8	cricket_22_oct	7	0	arthropod	moulis_toulouse
pteronemobius_heydenii	standard	no	cricket_8	cricket_22_oct	5	2	arthropod	moulis_toulouse
zootoca_vivipara	standard	no	liz_1	liz_I	3	2	vertebrate	moulis_toulouse
zootoca_vivipara	low	no	liz_1	liz_J	4	1	vertebrate	moulis_toulouse
